delta,f_drive,f_brake,gamma_y
0.036568715808350874,330.2564307572744,-40.26537258283465,-55.64475482501554
-0.043142947588710276,309.4595730130154,-42.97085114748294,19.53817594438116
0.035238614660525254,332.4886198365517,-39.993276253765984,-63.20941216905905
-0.04487948405793554,302.8366129716781,-43.910180304019335,9.918333070482793
0.03332230991554008,338.781362434099,-39.24977758416889,-73.76371632877698
-0.04651500197542546,302.25233860104953,-43.99594246609131,-0.8456965805381939
0.03199194781755268,346.8122371804113,-38.340353997920566,-81.17244911065384
-0.04733984103965384,304.7417175428665,-43.63795465226202,-7.660995250559873
0.032066670271998006,349.3730049831829,-38.05789451199861,-81.22311302469971
-0.047063016888768745,309.4967807714993,-42.96792576919842,-7.459400050124213
0.032929968949878534,352.37555748746234,-37.736688474192746,-75.8834830049702
-0.04521698302296996,324.0860677358696,-41.03331147838704,-0.2379536622945991
0.03589827851463266,358.0864875011322,-37.14229821436061,-57.65926708502535
-0.04010233412463077,357.463898631752,-37.2018527640019,22.857171151381674
0.04427535992631608,350.36114022636406,-37.960116992104425,-8.382377043657547
-0.03100196391561186,406.3165096106378,-32.722097552780546,71.7968096416673
0.05720141174287594,341.1551750344533,-38.974028331818275,72.43984866849283
-0.01861218704919275,504.32171445792704,-26.33109932110502,140.2204210955268
0.07073735190568713,426.176340232136,-31.27373157064286,179.47473940061903
-0.006611863408088565,876.5201503919905,-15.123979668692375,195.7340857968868
-0.03378028245756992,1615.2314484205297,-8.183874674300503,-304.63043417157877
-0.021052952534353717,1664.4312294339086,-7.951119961339527,-234.8163507632602
-0.017828029216459526,1646.839625757648,-8.041881894406536,-195.6636715919175
-0.015544636103319395,1610.121884506739,-8.231907545533947,-179.64070739756818
-0.013849610012416212,1571.8680093311793,-8.438721234164511,-167.8527870511041
-0.012529115515268087,1534.8107055674168,-8.648985778125454,-158.90553540547575
-0.011496851542328566,1498.5853883991194,-8.864402711782045,-152.1740178411565
-0.010692133582653853,1463.6017099654923,-9.082378444170754,-147.3216006096555
-0.010070793388849092,1429.6405898978057,-9.303854481419938,-144.1055886991163
-0.009600875550766021,1396.6728718847096,-9.528754739214346,-142.36230586308548
-0.009258994803148592,1364.5143392348207,-9.758123700847412,-141.9848284745998
-0.009028651080085826,1332.989182175403,-9.993193348705905,-142.91786128989048
-0.008896262223335033,1301.8572025209935,-10.235957904754999,-145.11684731795015
-0.008856328317489866,1270.8205113170206,-10.489286370296686,-148.62742976569055
-0.008897088906589624,1239.5243459335065,-10.757080805435734,-153.3920180191726
-0.009030152246136148,1207.453212090418,-11.045482355558725,-159.6876417862866
-0.009229987289028484,1174.0399391054195,-11.36237948646105,-167.22339574788208
-0.009552450332508395,1138.0762806765572,-11.724061315108013,-176.9867970880906
-0.00991818970470044,1098.4560925765597,-12.149928410409935,-187.78911509735278
-0.010504775994888164,1050.9422335962558,-12.703403040277768,-202.7280765971354
-0.011087921472187599,990.6619607485259,-13.482975406907713,-218.06413039018966
-0.012189670011659583,892.9556669723208,-14.973502174588477,-243.1561168849842
-0.013420996507022614,714.7115095105393,-18.746563154380482,-271.1233139739485
-0.016222586830065215,306.48821581194,-43.752891605994066,-328.09087784930915
-0.013162941414132155,9.784641833891822,-1270.3921017042824,-268.96150834314403
-0.0067843985068226495,7.004638890759726,-1834.0073408665874,-140.61044969271714
-0.007718280048956651,6.492605083723398,-2000.2134877966014,-135.54926964269717
-0.000976857564077757,6.136708811096371,-2120.488960226971,-32.64080380229066
-0.016355069408169734,6.362278990486309,-2058.167053273168,-218.03577902068577
-0.00021358731763852432,6.399057174831867,-2027.0849908075463,-50.944772275158066
-0.037033381744420266,6.70892751661448,-1955.8243444594145,-389.5808537528878
0.05194216972205808,9.286886820934846,-1407.4582740839642,418.62053695753866
-0.030749628491381163,12.431313202173177,-1059.1663225470045,-111.76339918498336
0.054664495851570676,14.617399125085594,-901.0297866495196,329.73357387430326
-0.03509200363732074,20.932454228677837,-631.9578082140367,-86.86959080653013
0.053515319915145715,25.38835840914508,-521.776942271331,236.88653091602964
