x_fl,y_fl,z_fl,x_fr,y_fr,z_fr,x_rl,y_rl,z_rl,x_rr,y_rr,z_rr
-967.4849841406613,457.61665072334,4030.057550153944,-967.4849841406613,499.4946944433313,4462.921967914424,-656.8338682296892,440.46000170710323,3297.774359500128,-656.8338682296892,489.4034959176199,3730.638777260609
-969.088837014167,542.5692136147572,3973.801036477957,-969.088837014167,604.6795898200045,4516.408071673084,-657.8643835755863,565.8517352854606,3241.4432595749126,-657.8643835755863,646.6635495955427,3784.05029477004
-971.5936989845396,447.7105947573174,4012.0336578774454,-971.5936989845396,490.94450542616016,4475.822302434723,-659.482491187967,506.2527083008275,3279.180763481953,-659.482491187967,567.9298104216157,3742.9694080392296
-973.6854503081158,178.70851786952582,4139.151718258181,-973.6854503081158,186.43312279424657,4346.170849993249,-660.867423260017,257.1436352983905,3405.986108592838,-660.867423260017,270.9692203270151,3613.0052403279064
-974.1180563738061,-229.4293230521375,4327.468560883819,-974.1180563738061,-220.78462190844576,4154.559828287914,-661.2090503637473,-158.09621681196637,3594.754306042215,-661.2090503637473,-151.77708354122026,3421.8455734463096
-972.9612419438904,-692.5618373596797,4529.596565638826,-972.9612419438904,-615.343944137078,3948.3947943964263,-660.5297068489925,-656.9212747433902,3798.0732303907503,-660.5297068489925,-570.0543294929465,3216.8714591483504
-971.722497775483,-1098.4060421911604,4698.260180000535,-971.722497775483,-911.7913214355414,3775.628594344934,-659.7579557947214,-1117.3175265455739,3967.980199706084,-659.7579557947214,-889.7602802892801,3045.3486140504833
-971.974174244496,-1361.862175100024,4806.146478716317,-971.974174244496,-1081.926989387483,3664.289449936133,-659.8724607944505,-1439.687984912369,4076.4415800879974,-659.8724607944505,-1083.6392896223965,2934.584551307814
-973.9704071862508,-1460.9534186553467,4849.626580157137,-973.9704071862508,-1140.1097417472565,3618.136553789912,-661.068191382255,-1586.269849697998,4119.700772839873,-661.068191382255,-1165.8776898988726,2888.210746472648
-976.5078200051304,-1450.1924733002713,4848.432132289101,-976.5078200051304,-1131.9162827734651,3616.908138558313,-662.6419975188443,-1596.3313021498543,4118.027202901812,-662.6419975188443,-1172.4820186812722,2886.503209171025
-977.8237242153651,-1455.2931297768157,4846.959844233701,-977.8237242153651,-1135.7437325208477,3615.440031931902,-663.6202172457878,-1591.3800697941006,4116.590686975649,-663.6202172457878,-1168.6503521152936,2885.0708746738496
-979.0696175689798,-1457.1830037435006,4845.461074112269,-979.0696175689798,-1137.0474624372196,3613.9423029376535,-664.4719569838719,-1589.8557099854163,4115.183393840026,-664.4719569838719,-1167.4726602889161,2883.664622665411
-980.3574917752483,-1457.5497155504167,4843.970823987251,-980.3574917752483,-1137.1713824570852,3612.44984488056,-665.3316288019155,-1589.8640718570846,4113.7705584006835,-665.3316288019155,-1167.4201296286817,2882.2495792939926
-981.6532496290671,-1457.777731903339,4842.483424544515,-981.6532496290671,-1137.1859115141858,3610.9579381649646,-666.197396919775,-1590.0135583561205,4112.356722887779,-666.197396919775,-1167.466359511491,2880.8312365082284
-982.807956427278,-1458.035400572036,4840.986935576382,-982.807956427278,-1137.2224977549588,3609.4725799212197,-667.197938839278,-1590.095319653003,4110.935720322437,-667.197938839278,-1167.469792250696,2879.4213646672742
-986.2018137762489,-1300.2276605624431,4785.694223302061,-986.2018137762489,-1037.1289810006886,3662.768279166619,-669.4249411864236,-1448.3923912283624,4054.736897627043,-669.4249411864236,-1092.904920647727,2931.810953491601
-991.0509715069821,-900.7849865069439,4634.4138791326295,-991.0509715069821,-764.0025020710275,3812.7217517597564,-672.5098277851762,-1047.79879730722,3901.892816507404,-672.5098277851762,-852.6545213272018,3080.200689134531
-994.1650707240808,-323.440134301015,4391.099082964603,-994.1650707240808,-301.83261600872316,4053.9550809332472,-674.5767973250707,-432.88915594244565,3657.7887425695576,-674.5767973250707,-397.2764117124498,3320.6447405382014
-993.7328955567153,272.8524979085406,4107.900334271817,-993.7328955567153,287.36360610256963,4333.452725011371,-674.4053778068106,210.44259537242286,3375.4345393419267,-674.4053778068106,221.94327221585982,3600.9869300814808
-990.999391992714,740.0214532366454,3856.5472777547106,-990.999391992714,858.8535686237805,4580.031524981062,-672.7529338642534,710.2727498922659,3125.997015946058,-672.7529338642534,848.2208003083779,3849.4812631724094
-989.0694937503185,1023.110581655753,3684.5086395666904,-989.0694937503185,1270.9323357315318,4747.620635783135,-671.513011373724,1015.5472638304452,2955.533437350682,-671.513011373724,1322.4617559522665,4018.645433567127
-989.8871745427778,1138.9381234942682,3603.505862409424,-989.8871745427778,1460.3940615380288,4825.385747256003,-671.8875184638023,1153.5787348621902,2874.875515198254,-671.8875184638023,1566.0639362248285,4096.755400044833
-992.8397433069537,1135.2544498966736,3597.534247825676,-992.8397433069537,1457.674676774966,4829.0601761488515,-673.499894932137,1170.3975597941303,2868.2968875251718,-673.499894932137,1594.2173871906475,4099.822815848347
-994.2227143598823,1136.950593733132,3596.083817648652,-994.2227143598823,1459.9840590384647,4827.60822426226,-674.5638082117754,1168.5522903982464,2866.8399918642804,-674.5638082117754,1592.0112942927167,4098.364398477887
-995.4066638451965,1137.8816643012965,3594.5693114204605,-995.4066638451965,1461.502432199568,4826.095989922919,-675.3963214181281,1167.7826850987042,2865.4413225325643,-675.3963214181281,1590.9870558420603,4096.968001035023
-996.351347926397,1138.0339650553738,3593.066503250297,-996.351347926397,1462.0312057734113,4824.566589686518,-676.4584141666827,1167.7377495403878,2864.0576128759235,-676.4584141666827,1590.9101140380592,4095.5576993121445
-1000.7100432123925,1008.2787031363277,3665.444130093095,-1000.7100432123925,1256.3590927841337,4750.60264085952,-679.2057437338784,1061.3994390310754,2935.110638985968,-679.2057437338784,1393.5140525523527,4020.269149752393
-1006.4362993074413,693.618942789185,3840.9387946641627,-1006.4362993074413,803.9415278984214,4574.167998208792,-682.8187453082162,766.2034483403436,3108.645927388409,-682.8187453082162,920.9110736228033,3841.8751309330382
-1009.8197838566583,197.92837286737966,4096.885081827463,-1009.8197838566583,207.22250578943286,4316.246826671014,-685.0450618270064,262.6854542022056,3363.6844136152336,-685.0450618270064,277.9319012383642,3583.0461584587847
-1009.0350702329181,-392.2443193411402,4370.645107055552,-1009.0350702329181,-364.87362518870486,4038.601180360194,-684.6470292172504,-363.1806756488993,3638.4568275003694,-684.6470292172504,-335.2550673506432,3306.4129008050118
-1005.5839548492886,-936.7675851744802,4599.985318671385,-1005.5839548492886,-794.0263493709791,3804.1402075167443,-682.566794322051,-957.1137586014422,3870.04100506319,-682.566794322051,-786.7030092582387,3074.195893908549
