delta,f_drive,f_brake,gamma_y
-0.0022661271714809984,0.0070008150924750654,-3999.996586092254,-831.2742723704621
-0.0023376457355909733,0.006688911772855335,-3999.99674233464,-831.273920268449
-0.0024110759148149876,0.006396581627372826,-3999.996888769343,-831.273558043714
-0.002486495477788769,0.0061220554922860534,-3999.9970262838438,-831.2731873379516
-0.002563986391351819,0.005863771725888983,-3999.99715566144,-831.2728103511902
-0.0026436351159812273,0.005620346547074556,-3999.9972775961505,-831.2724299474534
-0.002725532917608505,0.005390549277312967,-3999.997392705153,-831.2720497882907
-0.002809776512433352,0.005173253561797242,-3999.997501553245,-831.271674491642
-0.002896470213238601,0.004967308641685579,-3999.9976047173545,-831.2713097810504
-0.002985728114725982,0.004771603149377646,-3999.9977027546097,-831.2709622598234
-0.0030776723803282763,0.004585391049971576,-3999.997796039078,-831.270638850281
-0.0031724299769266503,0.004408237510809285,-3999.9978847888824,-831.2703468619479
-0.0032701325370667568,0.004239665199776335,-3999.9979692433794,-831.2700944358163
-0.003370918119700896,0.004079108877116002,-3999.9980496859293,-831.2698903143278
-0.003474932813615267,0.00392602431590808,-3999.9981263893383,-831.2697432904539
-0.0035823320147928524,0.003779911258605326,-3999.998199604365,-831.2696620357615
-0.003693281427382585,0.003640308403584207,-3999.9982695622393,-831.2696550041626
-0.003807957950304422,0.003506791003023108,-3999.998336475869,-831.2697257026775
-0.003926550387884717,0.003378978410417484,-3999.9984005360584,-831.2698486324539
-0.0040492605041776986,0.003256548628555918,-3999.9984619042193,-831.26994412586
-0.00417631015396817,0.003139127377725619,-3999.9985207679742,-831.2701889729992
-0.0043079642665069156,0.003025538645408012,-3999.9985777169,-831.2724317469444
-0.00444446631041208,0.002912546998253193,-3999.998634373365,-831.2773312705451
-0.00458530034582422,0.0028045892722868963,-3999.9986883151955,-831.2406994868498
-0.002208401132590233,0.002708954514727776,-3999.998736382514,-686.6901772418962
0.0020041038402244644,0.002616436824891671,-3999.998782844124,-343.6362884614155
0.006574464161978272,0.0025227899865822062,-3999.9988297506693,146.2158769525075
0.010059488253640123,0.002428848536116884,-3999.9988767883233,644.2490850543165
0.01146119878465855,0.0023397656168567716,-3999.99892151805,1017.1165943954607
0.01070533831089813,0.0022596712708034886,-3999.998961874984,1208.942971686442
0.008661986621321439,0.002177683326582181,-3999.999003350142,1231.5281179235612
0.008384270211803322,0.0020913251094497737,-3999.999046340672,1231.5158292931014
0.005839134615512078,0.002018314154932684,-3999.999083047376,1080.1067234317593
